Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1979-01-10,1.1166651248931885,1.1166651248931885,1.1166651248931885,1.1166651248931885,0,0.0,0.0
1979-01-11,1.1166651248931885,1.1166651248931885,1.1166651248931885,1.1166651248931885,0,0.0,0.0
1979-01-12,1.1166651248931885,1.1166651248931885,1.1166651248931885,1.1166651248931885,0,0.0,0.0
1979-01-15,1.1166651248931885,1.1166651248931885,1.1166651248931885,1.1166651248931885,0,0.0,0.0
1979-01-16,1.1166651248931885,1.1166651248931885,1.1166651248931885,1.1166651248931885,0,0.0,0.0
1979-01-17,1.1166651248931885,1.1166651248931885,1.1166651248931885,1.1166651248931885,0,0.0,0.0
1979-01-18,1.1166651248931885,1.1166651248931885,1.1166651248931885,1.1166651248931885,0,0.0,0.0
1979-01-19,1.1166651248931885,1.1166651248931885,1.1166651248931885,1.1166651248931885,0,0.0,0.0
1979-01-22,1.1166651248931885,1.1166651248931885,1.1166651248931885,1.1166651248931885,0,0.0,0.0
1979-01-23,1.1166651248931885,1.1166651248931885,1.1166651248931885,1.1166651248931885,0,0.0,0.0
1979-01-24,1.1166651248931885,1.1166651248931885,1.1166651248931885,1.1166651248931885,0,0.0,0.0
1979-01-25,1.1166651248931885,1.1166651248931885,1.1166651248931885,1.1166651248931885,0,0.0,0.0
1979-01-26,1.1166651248931885,1.1166651248931885,1.1166651248931885,1.1166651248931885,0,0.0,0.0
1979-01-29,1.1166651248931885,1.1166651248931885,1.1166651248931885,1.1166651248931885,0,0.0,0.0
1979-01-30,1.1166651248931885,1.1166651248931885,1.1166651248931885,1.1166651248931885,0,0.0,0.0
1979-01-31,1.228331446647644,1.228331446647644,1.228331446647644,1.228331446647644,0,0.0,0.0
1979-02-01,1.228331446647644,1.228331446647644,1.228331446647644,1.228331446647644,0,0.0,0.0
1979-02-02,1.228331446647644,1.228331446647644,1.228331446647644,1.228331446647644,0,0.0,0.0
1979-02-05,1.228331446647644,1.228331446647644,1.228331446647644,1.228331446647644,0,0.0,0.0
1979-02-06,1.228331446647644,1.228331446647644,1.228331446647644,1.228331446647644,0,0.0,0.0
1979-02-07,1.228331446647644,1.228331446647644,1.228331446647644,1.228331446647644,0,0.0,0.0
1979-02-08,1.228331446647644,1.228331446647644,1.228331446647644,1.228331446647644,0,0.0,0.0
1979-02-09,1.228331446647644,1.228331446647644,1.228331446647644,1.228331446647644,0,0.0,0.0
1979-02-12,1.228331446647644,1.228331446647644,1.228331446647644,1.228331446647644,0,0.0,0.0
1979-02-13,1.228331446647644,1.228331446647644,1.228331446647644,1.228331446647644,0,0.0,0.0
1979-02-14,1.228331446647644,1.228331446647644,1.228331446647644,1.228331446647644,0,0.0,0.0
1979-02-15,1.228331446647644,1.228331446647644,1.228331446647644,1.228331446647644,0,0.0,0.0
1979-02-16,1.228331446647644,1.228331446647644,1.228331446647644,1.228331446647644,0,0.0,0.0
1979-02-19,1.228331446647644,1.228331446647644,1.228331446647644,1.228331446647644,0,0.0,0.0
1979-02-20,1.228331446647644,1.228331446647644,1.228331446647644,1.228331446647644,0,0.0,0.0
1979-02-21,1.228331446647644,1.228331446647644,1.228331446647644,1.228331446647644,0,0.0,0.0
1979-02-22,1.228331446647644,1.228331446647644,1.228331446647644,1.228331446647644,0,0.0,0.0
1979-02-23,1.228331446647644,1.228331446647644,1.228331446647644,1.228331446647644,0,0.0,0.0
1979-02-26,1.228331446647644,1.228331446647644,1.228331446647644,1.228331446647644,0,0.0,0.0
1979-02-27,1.228331446647644,1.228331446647644,1.228331446647644,1.228331446647644,0,0.0,0.0
1979-02-28,1.200415015220642,1.200415015220642,1.200415015220642,1.200415015220642,0,0.0,0.0
1979-03-01,1.200415015220642,1.200415015220642,1.200415015220642,1.200415015220642,0,0.0,0.0
1979-03-02,1.200415015220642,1.200415015220642,1.200415015220642,1.200415015220642,0,0.0,0.0
1979-03-05,1.200415015220642,1.200415015220642,1.200415015220642,1.200415015220642,0,0.0,0.0
1979-03-06,1.200415015220642,1.200415015220642,1.200415015220642,1.200415015220642,0,0.0,0.0
1979-03-07,1.200415015220642,1.200415015220642,1.200415015220642,1.200415015220642,0,0.0,0.0
1979-03-08,1.200415015220642,1.200415015220642,1.200415015220642,1.200415015220642,0,0.0,0.0
1979-03-09,1.200415015220642,1.200415015220642,1.200415015220642,1.200415015220642,0,0.0,0.0
1979-03-12,1.200415015220642,1.200415015220642,1.200415015220642,1.200415015220642,0,0.0,0.0
1979-03-13,1.200415015220642,1.200415015220642,1.200415015220642,1.200415015220642,0,0.0,0.0
1979-03-14,1.200415015220642,1.200415015220642,1.200415015220642,1.200415015220642,0,0.0,0.0
1979-03-15,1.200415015220642,1.200415015220642,1.200415015220642,1.200415015220642,0,0.0,0.0
1979-03-16,1.200415015220642,1.200415015220642,1.200415015220642,1.200415015220642,0,0.0,0.0
1979-03-19,1.200415015220642,1.200415015220642,1.200415015220642,1.200415015220642,0,0.0,0.0
1979-03-20,1.200415015220642,1.200415015220642,1.200415015220642,1.200415015220642,0,0.0,0.0
1979-03-21,1.200415015220642,1.200415015220642,1.200415015220642,1.200415015220642,0,0.0,0.0
1979-03-22,1.200415015220642,1.200415015220642,1.200415015220642,1.200415015220642,0,0.0,0.0
1979-03-23,1.200415015220642,1.200415015220642,1.200415015220642,1.200415015220642,0,0.0,0.0
1979-03-26,1.4263755083084106,1.4263755083084106,1.4263755083084106,1.4263755083084106,0,0.04,0.0
1979-03-27,1.4263755083084106,1.4263755083084106,1.4263755083084106,1.4263755083084106,0,0.0,0.0
1979-03-28,1.4263755083084106,1.4263755083084106,1.4263755083084106,1.4263755083084106,0,0.0,0.0
1979-03-29,1.4263755083084106,1.4263755083084106,1.4263755083084106,1.4263755083084106,0,0.0,0.0
1979-03-30,1.2710274457931519,1.2710274457931519,1.2710274457931519,1.2710274457931519,0,0.0,0.0
1979-04-02,1.2710274457931519,1.2710274457931519,1.2710274457931519,1.2710274457931519,0,0.0,0.0
1979-04-03,1.2710274457931519,1.2710274457931519,1.2710274457931519,1.2710274457931519,0,0.0,0.0
1979-04-04,1.2710274457931519,1.2710274457931519,1.2710274457931519,1.2710274457931519,0,0.0,0.0
1979-04-05,1.2710274457931519,1.2710274457931519,1.2710274457931519,1.2710274457931519,0,0.0,0.0
1979-04-06,1.2710274457931519,1.2710274457931519,1.2710274457931519,1.2710274457931519,0,0.0,0.0
1979-04-09,1.2710274457931519,1.2710274457931519,1.2710274457931519,1.2710274457931519,0,0.0,0.0
1979-04-10,1.2710274457931519,1.2710274457931519,1.2710274457931519,1.2710274457931519,0,0.0,0.0
1979-04-11,1.2710274457931519,1.2710274457931519,1.2710274457931519,1.2710274457931519,0,0.0,0.0
1979-04-12,1.2710274457931519,1.2710274457931519,1.2710274457931519,1.2710274457931519,0,0.0,0.0
1979-04-13,1.2710274457931519,1.2710274457931519,1.2710274457931519,1.2710274457931519,0,0.0,0.0
1979-04-16,1.2710274457931519,1.2710274457931519,1.2710274457931519,1.2710274457931519,0,0.0,0.0
1979-04-17,1.2710274457931519,1.2710274457931519,1.2710274457931519,1.2710274457931519,0,0.0,0.0
1979-04-18,1.2710274457931519,1.2710274457931519,1.2710274457931519,1.2710274457931519,0,0.0,0.0
1979-04-19,1.2710274457931519,1.2710274457931519,1.2710274457931519,1.2710274457931519,0,0.0,0.0
1979-04-20,1.2710274457931519,1.2710274457931519,1.2710274457931519,1.2710274457931519,0,0.0,0.0
1979-04-23,1.2710274457931519,1.2710274457931519,1.2710274457931519,1.2710274457931519,0,0.0,0.0
1979-04-24,1.2710274457931519,1.2710274457931519,1.2710274457931519,1.2710274457931519,0,0.0,0.0
1979-04-25,1.2710274457931519,1.2710274457931519,1.2710274457931519,1.2710274457931519,0,0.0,0.0
1979-04-26,1.2710274457931519,1.2710274457931519,1.2710274457931519,1.2710274457931519,0,0.0,0.0
1979-04-27,1.2710274457931519,1.2710274457931519,1.2710274457931519,1.2710274457931519,0,0.0,0.0
1979-04-30,1.3416402339935303,1.3416402339935303,1.3416402339935303,1.3416402339935303,0,0.0,0.0
1979-05-01,1.3416402339935303,1.3416402339935303,1.3416402339935303,1.3416402339935303,0,0.0,0.0
1979-05-02,1.3416402339935303,1.3416402339935303,1.3416402339935303,1.3416402339935303,0,0.0,0.0
1979-05-03,1.3416402339935303,1.3416402339935303,1.3416402339935303,1.3416402339935303,0,0.0,0.0
1979-05-04,1.3416402339935303,1.3416402339935303,1.3416402339935303,1.3416402339935303,0,0.0,0.0
1979-05-07,1.3416402339935303,1.3416402339935303,1.3416402339935303,1.3416402339935303,0,0.0,0.0
1979-05-08,1.3416402339935303,1.3416402339935303,1.3416402339935303,1.3416402339935303,0,0.0,0.0
1979-05-09,1.3416402339935303,1.3416402339935303,1.3416402339935303,1.3416402339935303,0,0.0,0.0
1979-05-10,1.3416402339935303,1.3416402339935303,1.3416402339935303,1.3416402339935303,0,0.0,0.0
1979-05-11,1.3416402339935303,1.3416402339935303,1.3416402339935303,1.3416402339935303,0,0.0,0.0
1979-05-14,1.3416402339935303,1.3416402339935303,1.3416402339935303,1.3416402339935303,0,0.0,0.0
1979-05-15,1.3416402339935303,1.3416402339935303,1.3416402339935303,1.3416402339935303,0,0.0,0.0
1979-05-16,1.3416402339935303,1.3416402339935303,1.3416402339935303,1.3416402339935303,0,0.0,0.0
1979-05-17,1.3416402339935303,1.3416402339935303,1.3416402339935303,1.3416402339935303,0,0.0,0.0
1979-05-18,1.3416402339935303,1.3416402339935303,1.3416402339935303,1.3416402339935303,0,0.0,0.0
1979-05-21,1.3416402339935303,1.3416402339935303,1.3416402339935303,1.3416402339935303,0,0.0,0.0
1979-05-22,1.3416402339935303,1.3416402339935303,1.3416402339935303,1.3416402339935303,0,0.0,0.0
1979-05-23,1.3416402339935303,1.3416402339935303,1.3416402339935303,1.3416402339935303,0,0.0,0.0
1979-05-24,1.3416402339935303,1.3416402339935303,1.3416402339935303,1.3416402339935303,0,0.0,0.0
1979-05-25,1.3416402339935303,1.3416402339935303,1.3416402339935303,1.3416402339935303,0,0.0,0.0
1979-05-28,1.3416402339935303,1.3416402339935303,1.3416402339935303,1.3416402339935303,0,0.0,0.0
1979-05-29,1.3416402339935303,1.3416402339935303,1.3416402339935303,1.3416402339935303,0,0.0,0.0
1979-05-30,1.3416402339935303,1.3416402339935303,1.3416402339935303,1.3416402339935303,0,0.0,0.0
1979-05-31,1.6240907907485962,1.6240907907485962,1.6240907907485962,1.6240907907485962,0,0.0,0.0
1979-06-01,1.6240907907485962,1.6240907907485962,1.6240907907485962,1.6240907907485962,0,0.0,0.0
1979-06-04,1.6240907907485962,1.6240907907485962,1.6240907907485962,1.6240907907485962,0,0.0,0.0
1979-06-05,1.6240907907485962,1.6240907907485962,1.6240907907485962,1.6240907907485962,0,0.0,0.0
1979-06-06,1.6240907907485962,1.6240907907485962,1.6240907907485962,1.6240907907485962,0,0.0,0.0
1979-06-07,1.6240907907485962,1.6240907907485962,1.6240907907485962,1.6240907907485962,0,0.0,0.0
1979-06-08,1.6240907907485962,1.6240907907485962,1.6240907907485962,1.6240907907485962,0,0.0,0.0
1979-06-11,1.6240907907485962,1.6240907907485962,1.6240907907485962,1.6240907907485962,0,0.0,0.0
1979-06-12,1.6240907907485962,1.6240907907485962,1.6240907907485962,1.6240907907485962,0,0.0,0.0
1979-06-13,1.6240907907485962,1.6240907907485962,1.6240907907485962,1.6240907907485962,0,0.0,0.0
1979-06-14,1.6240907907485962,1.6240907907485962,1.6240907907485962,1.6240907907485962,0,0.0,0.0
1979-06-15,1.6240907907485962,1.6240907907485962,1.6240907907485962,1.6240907907485962,0,0.0,0.0
1979-06-18,1.6240907907485962,1.6240907907485962,1.6240907907485962,1.6240907907485962,0,0.0,0.0
1979-06-19,1.6240907907485962,1.6240907907485962,1.6240907907485962,1.6240907907485962,0,0.0,0.0
1979-06-20,1.6240907907485962,1.6240907907485962,1.6240907907485962,1.6240907907485962,0,0.0,0.0
1979-06-21,1.6240907907485962,1.6240907907485962,1.6240907907485962,1.6240907907485962,0,0.0,0.0
1979-06-22,1.6240907907485962,1.6240907907485962,1.6240907907485962,1.6240907907485962,0,0.0,0.0
1979-06-25,1.6240907907485962,1.6240907907485962,1.6240907907485962,1.6240907907485962,0,0.0,0.0
1979-06-26,1.6240907907485962,1.6240907907485962,1.6240907907485962,1.6240907907485962,0,0.0,0.0
1979-06-27,1.6240907907485962,1.6240907907485962,1.6240907907485962,1.6240907907485962,0,0.0,0.0
1979-06-28,1.6240907907485962,1.6240907907485962,1.6240907907485962,1.6240907907485962,0,0.0,0.0
1979-06-29,1.4828649759292603,1.4828649759292603,1.4828649759292603,1.4828649759292603,0,0.0,0.0
1979-07-02,1.4828649759292603,1.4828649759292603,1.4828649759292603,1.4828649759292603,0,0.0,0.0
1979-07-03,1.4828649759292603,1.4828649759292603,1.4828649759292603,1.4828649759292603,0,0.0,0.0
1979-07-04,1.4828649759292603,1.4828649759292603,1.4828649759292603,1.4828649759292603,0,0.0,0.0
1979-07-05,1.4828649759292603,1.4828649759292603,1.4828649759292603,1.4828649759292603,0,0.0,0.0
1979-07-06,1.4828649759292603,1.4828649759292603,1.4828649759292603,1.4828649759292603,0,0.0,0.0
1979-07-09,1.4828649759292603,1.4828649759292603,1.4828649759292603,1.4828649759292603,0,0.0,0.0
1979-07-10,1.4828649759292603,1.4828649759292603,1.4828649759292603,1.4828649759292603,0,0.0,0.0
1979-07-11,1.4828649759292603,1.4828649759292603,1.4828649759292603,1.4828649759292603,0,0.0,0.0
1979-07-12,1.4828649759292603,1.4828649759292603,1.4828649759292603,1.4828649759292603,0,0.0,0.0
1979-07-13,1.4828649759292603,1.4828649759292603,1.4828649759292603,1.4828649759292603,0,0.0,0.0
1979-07-16,1.4828649759292603,1.4828649759292603,1.4828649759292603,1.4828649759292603,0,0.0,0.0
1979-07-17,1.4828649759292603,1.4828649759292603,1.4828649759292603,1.4828649759292603,0,0.0,0.0
1979-07-18,1.4828649759292603,1.4828649759292603,1.4828649759292603,1.4828649759292603,0,0.0,0.0
1979-07-19,1.4828649759292603,1.4828649759292603,1.4828649759292603,1.4828649759292603,0,0.0,0.0
1979-07-20,1.4828649759292603,1.4828649759292603,1.4828649759292603,1.4828649759292603,0,0.0,0.0
1979-07-23,1.4828649759292603,1.4828649759292603,1.4828649759292603,1.4828649759292603,0,0.0,0.0
1979-07-24,1.4828649759292603,1.4828649759292603,1.4828649759292603,1.4828649759292603,0,0.0,0.0
1979-07-25,1.4828649759292603,1.4828649759292603,1.4828649759292603,1.4828649759292603,0,0.0,0.0
1979-07-26,1.4828649759292603,1.4828649759292603,1.4828649759292603,1.4828649759292603,0,0.0,0.0
1979-07-27,1.4828649759292603,1.4828649759292603,1.4828649759292603,1.4828649759292603,0,0.0,0.0
1979-07-30,1.4828649759292603,1.4828649759292603,1.4828649759292603,1.4828649759292603,0,0.0,0.0
1979-07-31,1.5111106634140015,1.5111106634140015,1.5111106634140015,1.5111106634140015,0,0.0,0.0
1979-08-01,1.5111106634140015,1.5111106634140015,1.5111106634140015,1.5111106634140015,0,0.0,0.0
1979-08-02,1.5111106634140015,1.5111106634140015,1.5111106634140015,1.5111106634140015,0,0.0,0.0
1979-08-03,1.5111106634140015,1.5111106634140015,1.5111106634140015,1.5111106634140015,0,0.0,0.0
1979-08-06,1.5111106634140015,1.5111106634140015,1.5111106634140015,1.5111106634140015,0,0.0,0.0
1979-08-07,1.5111106634140015,1.5111106634140015,1.5111106634140015,1.5111106634140015,0,0.0,0.0
1979-08-08,1.5111106634140015,1.5111106634140015,1.5111106634140015,1.5111106634140015,0,0.0,0.0
1979-08-09,1.5111106634140015,1.5111106634140015,1.5111106634140015,1.5111106634140015,0,0.0,0.0
1979-08-10,1.5111106634140015,1.5111106634140015,1.5111106634140015,1.5111106634140015,0,0.0,0.0
1979-08-13,1.5111106634140015,1.5111106634140015,1.5111106634140015,1.5111106634140015,0,0.0,0.0
1979-08-14,1.5111106634140015,1.5111106634140015,1.5111106634140015,1.5111106634140015,0,0.0,0.0
1979-08-15,1.5111106634140015,1.5111106634140015,1.5111106634140015,1.5111106634140015,0,0.0,0.0
1979-08-16,1.5111106634140015,1.5111106634140015,1.5111106634140015,1.5111106634140015,0,0.0,0.0
1979-08-17,1.5111106634140015,1.5111106634140015,1.5111106634140015,1.5111106634140015,0,0.0,0.0
1979-08-20,1.5111106634140015,1.5111106634140015,1.5111106634140015,1.5111106634140015,0,0.0,0.0
1979-08-21,1.5111106634140015,1.5111106634140015,1.5111106634140015,1.5111106634140015,0,0.0,0.0
1979-08-22,1.5111106634140015,1.5111106634140015,1.5111106634140015,1.5111106634140015,0,0.0,0.0
1979-08-23,1.5111106634140015,1.5111106634140015,1.5111106634140015,1.5111106634140015,0,0.0,0.0
1979-08-24,1.5111106634140015,1.5111106634140015,1.5111106634140015,1.5111106634140015,0,0.0,0.0
1979-08-27,1.5111106634140015,1.5111106634140015,1.5111106634140015,1.5111106634140015,0,0.0,0.0
1979-08-28,1.5111106634140015,1.5111106634140015,1.5111106634140015,1.5111106634140015,0,0.0,0.0
1979-08-29,1.5111106634140015,1.5111106634140015,1.5111106634140015,1.5111106634140015,0,0.0,0.0
1979-08-30,1.5111106634140015,1.5111106634140015,1.5111106634140015,1.5111106634140015,0,0.0,0.0
1979-08-31,1.5252330303192139,1.5252330303192139,1.5252330303192139,1.5252330303192139,0,0.0,0.0
1979-09-03,1.5252330303192139,1.5252330303192139,1.5252330303192139,1.5252330303192139,0,0.0,0.0
1979-09-04,1.5252330303192139,1.5252330303192139,1.5252330303192139,1.5252330303192139,0,0.0,0.0
1979-09-05,1.5252330303192139,1.5252330303192139,1.5252330303192139,1.5252330303192139,0,0.0,0.0
1979-09-06,1.5252330303192139,1.5252330303192139,1.5252330303192139,1.5252330303192139,0,0.0,0.0
1979-09-07,1.5252330303192139,1.5252330303192139,1.5252330303192139,1.5252330303192139,0,0.0,0.0
